ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
query exchange language	12	METHOD MD:1	N/A	N/A	METHOD MD:1	DATASET DT:1
suffix tree clustering	12	METHOD MD:2	METHOD MD:2	METHOD MD:2	N/A	N/A
human resource	12	DATASET DT:1	METHOD MD:1 PM:1	N/A	PROBLEM PM:1	N/A
google similarity distance	12	N/A	N/A	N/A	DATASET DT:1	N/A
single slice	12	METHOD MD:7	METHOD MD:1	METHOD MD:3	PROBLEM PM:1	METHOD MD:2
interaction context	12	N/A	N/A	N/A	METHOD MD:3 DT:1	METHOD MD:1
transactions on programming languages and systems	12	N/A	N/A	N/A	METHOD MD:1	N/A
infinite relational model	12	N/A	N/A	N/A	N/A	DATASET DT:2
human rating	12	METRIC MC:1	N/A	METRIC MC:1	N/A	N/A
johnson lindenstrauss lemma	12	N/A	N/A	DATASET DT:2	N/A	N/A
personality diagnosis	12	METHOD MD:1	METHOD MD:1	N/A	N/A	N/A
fisher discriminant analysis	11	N/A	N/A	METHOD MD:1	METHOD MD:1	N/A
transitional pattern	11	N/A	N/A	N/A	METHOD MD:1	N/A
success criteria	11	N/A	N/A	N/A	N/A	N/A
personalized email prioritization	11	N/A	N/A	N/A	PROBLEM PM:1	N/A
competitive linking	11	METHOD MD:10	N/A	N/A	METHOD MD:9 PM:3	N/A
web age information management	11	N/A	N/A	N/A	N/A	N/A
pair completeness	11	N/A	METRIC MC:1	N/A	N/A	N/A
karp rabin	11	N/A	METRIC MC:1	METHOD MD:1	N/A	N/A
child pornography	11	N/A	N/A	N/A	N/A	N/A
verb phrase	11	N/A	N/A	N/A	N/A	N/A
hierarchical conditional random fields	11	METHOD MD:1	METHOD MD:2	METHOD MD:2	N/A	METHOD MD:1
periodic mobility model	11	N/A	METHOD MD:1	N/A	N/A	METHOD MD:1
attribute recognition model	11	N/A	METHOD MD:1	N/A	N/A	N/A
least squares method	11	N/A	N/A	DATASET DT:1 MC:1	N/A	N/A
convex quadratic programming	11	PROBLEM PM:4	N/A	METHOD MD:1	PROBLEM PM:2	PROBLEM PM:2
knowledge base completion	11	PROBLEM PM:1	METHOD MD:1	N/A	N/A	N/A
earth mover distance	11	N/A	N/A	N/A	N/A	N/A
acute lymphoblastic leukemia	11	N/A	N/A	N/A	PROBLEM PM:1 DT:1	N/A
symmetrical uncertainty	11	METRIC MC:1	METRIC MC:1	N/A	METHOD MD:1	N/A
model driven architecture	11	N/A	METHOD MD:1	PROBLEM PM:1	METHOD MD:3	METHOD MD:1
true predictions	11	N/A	N/A	N/A	N/A	METRIC MC:1
unified medical language system	11	N/A	N/A	N/A	N/A	PROBLEM PM:1
search query processing	11	N/A	N/A	N/A	N/A	N/A
chronic obstructive pulmonary disease	11	N/A	N/A	N/A	N/A	N/A
negative transitional pattern	11	N/A	N/A	N/A	N/A	DATASET DT:1
maximum common subgraph	11	PROBLEM PM:1	N/A	METHOD MD:1	METHOD MD:1	DATASET DT:1
non guaranteed delivery	11	N/A	N/A	N/A	N/A	N/A
quantile quantile	11	N/A	N/A	N/A	PROBLEM PM:1	N/A
davies bouldin index	11	N/A	N/A	PROBLEM PM:1	N/A	N/A
diffuse large b cell lymphoma	11	N/A	N/A	N/A	DATASET DT:1	N/A
fused lasso signal approximator	11	N/A	N/A	METHOD MD:2	N/A	N/A
canonical decomposition	11	N/A	METHOD MD:1	METHOD MD:2	METHOD MD:2	N/A
long term model	11	METHOD MD:1 MC:1	METHOD MD:3	METRIC MC:1	METHOD MD:2	METHOD MD:2
attribute constrained rules	11	N/A	N/A	PROBLEM PM:1	N/A	N/A
moment preserving quantization	11	METHOD MD:2	N/A	N/A	N/A	N/A
generative topographic mapping	11	N/A	N/A	N/A	N/A	N/A
document index graph	11	METHOD MD:1	METHOD MD:1	METHOD MD:3	DATASET DT:1	N/A
urgent care	11	N/A	N/A	N/A	N/A	METRIC MC:1
accounts receivable	11	N/A	N/A	N/A	N/A	N/A
formatting object	11	METHOD MD:1	N/A	N/A	N/A	N/A
closed captioning	11	PROBLEM PM:2 DT:1	N/A	N/A	METHOD MD:2	N/A
flight reservation	11	PROBLEM PM:1	N/A	N/A	N/A	DATASET DT:1
rich internet applications	11	N/A	N/A	N/A	N/A	METHOD MD:1
multi objective programming	11	METHOD MD:3	N/A	N/A	METHOD MD:2	METHOD MD:1
best first crawler	11	N/A	N/A	METHOD MD:1	N/A	N/A
proximal support vector machine	11	N/A	METHOD MD:1	N/A	N/A	N/A
flow cytometry	11	DATASET DT:3	N/A	DATASET DT:1	METHOD MD:1 DT:1	N/A
algorithmic learning theory	11	N/A	N/A	N/A	N/A	N/A
spatial access method	11	N/A	N/A	N/A	METHOD MD:1	PROBLEM PM:1
prior probability distribution	11	N/A	METHOD MD:1	N/A	N/A	N/A
hybrid hierarchical clustering	11	METHOD MD:9	N/A	N/A	N/A	N/A
remote procedure call	11	N/A	N/A	METHOD MD:1	N/A	N/A
conceptual ontological graph	11	N/A	N/A	N/A	N/A	N/A
application requests	11	N/A	N/A	N/A	N/A	PROBLEM PM:1
untrustworthy workers	11	N/A	N/A	N/A	N/A	DATASET DT:1
mining software repositories	11	N/A	N/A	N/A	PROBLEM PM:1	N/A
spectral projected gradient	11	METHOD MD:5	METHOD MD:1	N/A	METHOD MD:2	METHOD MD:2 PM:1
continuous integration	11	METHOD MD:5 PM:5	N/A	N/A	METHOD MD:1 PM:1	N/A
really simple syndication	11	N/A	DATASET DT:1	DATASET DT:1	N/A	N/A
stochastic dual coordinate ascent	11	N/A	N/A	N/A	METHOD MD:1	N/A
sliding window algorithm	11	N/A	N/A	METHOD MD:1	N/A	N/A
pseudo labeled data	11	N/A	METHOD MD:1	DATASET DT:1	DATASET DT:1	DATASET DT:1
asian semantic web conference	11	N/A	N/A	N/A	N/A	N/A
mean square errors	11	N/A	N/A	N/A	N/A	N/A
indirect retweet	11	METRIC MC:4	METRIC MC:1	METRIC MC:2	METRIC MC:2	N/A
electronic health record	11	DATASET DT:2	N/A	DATASET DT:2	DATASET DT:3	METHOD MD:1
text to images	11	N/A	N/A	N/A	N/A	PROBLEM PM:1
flesch reading ease	11	METRIC MC:4	N/A	METRIC MC:1	N/A	N/A
deterministic graphs	11	N/A	PROBLEM PM:2	METHOD MD:1	N/A	PROBLEM PM:1
personalized page rank	11	N/A	METHOD MD:2	METHOD MD:1 PM:1 DT:1	N/A	N/A
discrete cosine transform	11	N/A	N/A	N/A	N/A	METRIC MC:1
point of interests	11	N/A	N/A	N/A	N/A	N/A
piecewise linear approximation	11	N/A	N/A	N/A	N/A	METHOD MD:1
kernel adatron	11	METHOD MD:4	METHOD MD:1	METHOD MD:1	N/A	N/A
delay tolerant networking	11	N/A	N/A	N/A	METHOD MD:1	N/A
topical n gram	11	METHOD MD:10	N/A	N/A	METHOD MD:1	METHOD MD:1
relative confidence sampling	11	N/A	METHOD MD:3	N/A	METHOD MD:2	PROBLEM PM:2
browser enforced embedded policies	11	METHOD MD:1	N/A	N/A	N/A	N/A
purchase rate	11	N/A	N/A	N/A	METHOD MD:1	N/A
transitive transfer learning	11	METHOD MD:1 PM:1	PROBLEM PM:2	PROBLEM PM:1	N/A	N/A
numeric sensitive queries	11	N/A	METHOD MD:1	N/A	METHOD MD:2	METHOD MD:1
second life	11	DATASET DT:1	N/A	DATASET DT:1	N/A	N/A
information finding	11	PROBLEM PM:1	DATASET DT:1	N/A	N/A	N/A
shared nearest neighbors	11	METHOD MD:3	N/A	METRIC MC:3	METHOD MD:1	N/A
sparse principal component analysis	11	N/A	METHOD MD:1	N/A	N/A	DATASET DT:1
composite object	11	N/A	N/A	N/A	N/A	N/A
computational systems bioinformatics	11	N/A	N/A	METHOD MD:1 DT:1	N/A	N/A
patient risk	11	N/A	METHOD MD:2 PM:1	METHOD MD:1	N/A	N/A
internet engineering task force	11	N/A	N/A	N/A	N/A	N/A
locality preserving projections	11	N/A	N/A	N/A	N/A	N/A
service level objectives	11	N/A	N/A	N/A	N/A	N/A
generalized additive model	11	N/A	METRIC MC:1	N/A	N/A	N/A
vector autoregression	11	PROBLEM PM:1	N/A	N/A	DATASET MD:1 DT:2	DATASET DT:1
recursive least squares	11	METHOD MD:3	N/A	METHOD MD:1	METHOD MD:2	METHOD MD:1 DT:1
percentile ranks	11	N/A	N/A	N/A	N/A	N/A
random friend	11	N/A	N/A	N/A	METRIC MC:1	N/A
program committees	11	N/A	N/A	N/A	N/A	N/A
query execution plan	11	N/A	N/A	N/A	METHOD MD:1 PM:1	N/A
joint degree distribution	11	N/A	N/A	METRIC MC:1	N/A	METRIC MC:1
relative error reduction	11	METRIC MC:1	N/A	N/A	DATASET DT:1 MC:1	N/A
for information retrieval evaluation	11	N/A	PROBLEM PM:1	N/A	PROBLEM PM:1	N/A
efficient latent link recommendation	11	N/A	N/A	METHOD MD:2	N/A	N/A
classification rule mining	11	N/A	METHOD MD:1	N/A	DATASET DT:1	N/A
anonymization success rate	11	N/A	N/A	N/A	N/A	METHOD MD:1
weighted association rules	11	N/A	N/A	METHOD MD:2 DT:1	N/A	METHOD MD:1
conjunctive normal form	11	N/A	N/A	N/A	PROBLEM PM:1	N/A
binary interpolative coding	11	N/A	N/A	N/A	METHOD MD:2	METHOD MD:1
granger causality test	11	N/A	N/A	METHOD MD:1	N/A	N/A
kernighan lin	11	METHOD MD:2	N/A	METHOD MD:2	N/A	N/A
peer dependency	11	N/A	N/A	N/A	METRIC MC:1	METRIC MC:1
constraint driven clustering	11	PROBLEM MD:1 PM:5	METHOD MD:2	METHOD MD:1	N/A	N/A
positive affect	11	N/A	N/A	N/A	N/A	N/A
modern portfolio theory	11	N/A	N/A	METHOD MD:1	METHOD MD:1	N/A
kernel principal component analysis	11	N/A	METHOD MD:1	N/A	N/A	N/A
probabilistic spatio temporal	11	DATASET MD:1 DT:4	N/A	METHOD MD:1 DT:1	DATASET DT:5	N/A
transfer metric learning	11	METHOD MD:1	PROBLEM PM:1	PROBLEM MD:1 PM:2	METRIC MC:1	N/A
negative affect	11	N/A	N/A	N/A	N/A	N/A
structural graphical lasso	11	N/A	N/A	N/A	N/A	PROBLEM PM:1
remote method invocation	11	METHOD MD:1	METHOD MD:1	N/A	N/A	N/A
task clustering	11	METHOD MD:1	N/A	N/A	METHOD MD:1	N/A
evolutionary programming	11	N/A	N/A	METHOD MD:2 MC:1	N/A	DATASET DT:2
generalized singular value decomposition	11	N/A	N/A	N/A	N/A	N/A
deep belief networks	11	N/A	METHOD MD:1	N/A	METRIC MC:1	N/A
negative matrix factorizations	11	N/A	N/A	N/A	N/A	N/A
comparative web search	11	PROBLEM PM:5	PROBLEM PM:2	PROBLEM PM:1	N/A	N/A
movie group process	11	N/A	N/A	METHOD MD:1 PM:1	N/A	N/A
conceptual graphs	11	N/A	N/A	DATASET DT:1	N/A	N/A
generalized iterative scaling	11	N/A	N/A	N/A	METHOD MD:1	N/A
common principal components	11	N/A	N/A	N/A	N/A	N/A
best matching unit	11	N/A	N/A	DATASET DT:2	N/A	METRIC MC:1
secondary hashing	11	N/A	N/A	N/A	METHOD MD:1	N/A
topic intrusion	10	PROBLEM PM:3	PROBLEM PM:1	DATASET DT:1	PROBLEM PM:1	DATASET DT:1 MC:1
hidden markov random fields	10	N/A	N/A	METHOD MD:4	METHOD MD:1	N/A
stochastic search variable selection	10	PROBLEM PM:3	N/A	N/A	N/A	N/A
certainty factor	10	N/A	N/A	N/A	N/A	N/A
massively multiplayer online games	10	N/A	N/A	N/A	N/A	N/A
relative spatial resolution	10	METRIC MC:1	METHOD MD:1	N/A	N/A	N/A
linked data platform	10	N/A	N/A	METHOD MD:1	METHOD MD:2	N/A
adaptive hypermedia systems	10	N/A	PROBLEM PM:1	N/A	N/A	N/A
threat models	10	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1
neumann kernel	10	N/A	N/A	N/A	N/A	N/A
museum of modern art	10	N/A	N/A	N/A	N/A	N/A
combined models	10	N/A	DATASET DT:1	N/A	N/A	N/A
graphic design	10	PROBLEM PM:2	N/A	N/A	N/A	N/A
lotka volterra	10	METHOD MD:1 PM:1	METHOD MD:2	N/A	METHOD MD:1	N/A
gaussian graphical models	10	N/A	N/A	N/A	N/A	N/A
autonomous citation indexing	10	N/A	N/A	N/A	N/A	N/A
weighted edit distance	10	N/A	N/A	METHOD MD:1 MC:1	N/A	METRIC MC:1
bayesian probabilistic tensor factorization	10	METHOD MD:1	N/A	N/A	N/A	N/A
non neighbors	10	N/A	N/A	N/A	N/A	DATASET DT:1
neighbourhood components analysis	10	N/A	N/A	N/A	N/A	N/A
class association rule	10	N/A	N/A	METRIC MC:1	N/A	PROBLEM PM:2
general motors	10	N/A	N/A	N/A	N/A	N/A
label cardinality	10	N/A	N/A	DATASET DT:1	N/A	DATASET DT:1
partially observable markov	10	METHOD MD:3	METHOD MD:1	PROBLEM PM:1	METHOD MD:7	DATASET DT:1
rank biased precision	10	METRIC MC:1	N/A	N/A	METRIC MC:1	N/A
interactive advertising bureau	10	N/A	N/A	N/A	N/A	N/A
quadratic assignment problem	10	N/A	N/A	N/A	N/A	N/A
relative information gain	10	N/A	METRIC MC:1	N/A	N/A	METHOD MD:1 PM:1
internet protocol	10	N/A	PROBLEM PM:1	N/A	N/A	N/A
kernelized locality sensitive hashing	10	N/A	N/A	N/A	METHOD MD:1 MC:1	N/A
singular value projection	10	N/A	METHOD MD:2 DT:1	N/A	N/A	N/A
trace based reasoning	10	METHOD MD:1 PM:1	N/A	N/A	METHOD MD:1 PM:1	METHOD MD:1
matrix factorisation	10	METHOD MD:1	METRIC MC:1	N/A	N/A	N/A
graph coarsening problem	10	METHOD MD:1	N/A	N/A	N/A	N/A
entity relationship graph	10	N/A	N/A	N/A	DATASET DT:1	DATASET DT:1
multi source deep belief network	10	N/A	N/A	PROBLEM PM:1	N/A	METHOD MD:2
regularized discriminant analysis	10	N/A	N/A	N/A	DATASET DT:1	N/A
maximum likelihood estimators	10	N/A	N/A	N/A	METHOD MD:1	DATASET DT:1
generalized local statistical	10	METHOD MD:5	N/A	N/A	METHOD MD:5	N/A
cluster feature	10	N/A	N/A	N/A	N/A	DATASET DT:1
semi supervised multi task learning	10	METHOD MD:3	PROBLEM PM:3	PROBLEM PM:1	METHOD MD:1 PM:1	N/A
conditional probability table	10	N/A	N/A	N/A	N/A	N/A
fair seed allocation	10	PROBLEM PM:4	PROBLEM PM:2	PROBLEM PM:1	N/A	N/A
presentation model	10	N/A	METHOD MD:1	N/A	N/A	N/A
minimum consistent subset cover	10	PROBLEM PM:1	N/A	N/A	PROBLEM PM:5	N/A
intensive care units	10	N/A	N/A	DATASET DT:1	N/A	N/A
in information technology	10	N/A	N/A	N/A	METHOD MD:1	PROBLEM PM:1
meaningful itemset	10	N/A	N/A	N/A	N/A	PROBLEM PM:1
rank biasing	10	METHOD MD:1	METHOD MD:1	N/A	N/A	N/A
angle based outlier factor	10	N/A	DATASET DT:1	DATASET DT:1	METHOD MD:1	N/A
large scale service	10	N/A	DATASET DT:1	N/A	N/A	N/A
influenza like illness	10	N/A	N/A	N/A	N/A	DATASET DT:1
time weighted	10	METHOD MD:2	METRIC MD:1 MC:2	N/A	PROBLEM PM:2	N/A
web document analysis	10	N/A	N/A	N/A	N/A	N/A
verbal phrases	10	N/A	N/A	N/A	N/A	N/A
additive tree model	10	N/A	N/A	N/A	METRIC MC:1	N/A
score decomposed trie	10	N/A	N/A	N/A	DATASET DT:1	N/A
potentially discriminatory	10	N/A	DATASET DT:1	DATASET DT:1	N/A	N/A
dynamic query expansion	10	METHOD MD:2	N/A	METHOD MD:1	METHOD MD:1 PM:1	PROBLEM PM:1
sequential quadratic programming	10	METHOD MD:4 PM:1	METHOD MD:2	METHOD MD:1	PROBLEM PM:2	PROBLEM PM:1
true positive rates	10	N/A	N/A	N/A	N/A	N/A
query server	10	N/A	N/A	N/A	N/A	N/A
competitive error	10	METRIC MC:2	N/A	N/A	N/A	N/A
misses cost	10	N/A	METRIC MC:2	N/A	N/A	DATASET DT:2
sparse additive models	10	N/A	PROBLEM PM:1	METHOD MD:1	N/A	N/A
multilinear singular value decomposition	10	N/A	N/A	N/A	PROBLEM PM:1	N/A
gradient boosted trees	10	N/A	PROBLEM PM:1	N/A	N/A	N/A
minimum message length	10	METHOD MD:1	METHOD MD:1	PROBLEM PM:1	N/A	N/A
gabriel graph	10	N/A	N/A	N/A	N/A	N/A
incomplete cholesky factorization	10	N/A	N/A	METHOD MD:2	N/A	N/A
generalized transfer entropy	10	METRIC MC:1	N/A	METHOD MD:1	N/A	N/A
stanford large network dataset collection	10	N/A	N/A	N/A	N/A	N/A
johnson lindenstrauss	10	N/A	N/A	N/A	N/A	DATASET DT:5
power assignment	10	PROBLEM PM:1	N/A	N/A	N/A	N/A
cluster shrinkage	10	METHOD MD:2 PM:1	METHOD MD:3	N/A	METHOD MD:2	N/A
hierarchical classifications	10	N/A	N/A	METHOD MD:1	N/A	N/A
agglomerative hierarchical clustering algorithm	10	N/A	N/A	N/A	METHOD MD:1 DT:1	N/A
linked data selectors	10	N/A	N/A	METHOD MD:1	N/A	DATASET DT:1
social importance	10	N/A	METRIC MC:1	N/A	METRIC MC:1	N/A
conceptual reference model	10	N/A	N/A	N/A	N/A	N/A
headway deviations	10	N/A	N/A	N/A	DATASET DT:1	N/A
hash function learning	10	N/A	N/A	METHOD MD:4	N/A	N/A
core vector machines	10	N/A	N/A	N/A	DATASET DT:1	N/A
communication service	10	N/A	N/A	N/A	N/A	N/A
open web application security project	10	N/A	N/A	N/A	N/A	N/A
digital enterprise research institute	10	N/A	N/A	N/A	N/A	N/A
itakura saito	10	N/A	N/A	N/A	PROBLEM PM:1 DT:1	N/A
layered graph model	10	N/A	N/A	METHOD MD:1 PM:1	N/A	N/A
sentiment analyzer	10	N/A	N/A	N/A	PROBLEM PM:1	N/A
path constrained random walks	10	N/A	N/A	N/A	N/A	PROBLEM PM:2
frequent item list	10	N/A	N/A	N/A	N/A	N/A
delaunay triangulation	10	N/A	N/A	N/A	N/A	N/A
location based social networking	10	N/A	N/A	N/A	DATASET DT:1	DATASET DT:1
quadratically constrained quadratic programming	10	PROBLEM PM:2	N/A	N/A	PROBLEM PM:2	METHOD MD:1
blood lead level	10	N/A	N/A	N/A	N/A	METHOD MD:1
joint matrix factorization	10	N/A	PROBLEM PM:1	METHOD MD:1	METHOD MD:1	N/A
genome wide association studies	10	N/A	N/A	DATASET DT:1	N/A	N/A
stochastic neighbor embedding	10	N/A	METHOD MD:1	N/A	PROBLEM MD:1 PM:2	N/A
tie direction inference	10	N/A	PROBLEM PM:3	DATASET DT:1	PROBLEM PM:1	N/A
multivariate information bottleneck	10	N/A	N/A	N/A	METHOD MD:2	N/A
medical professionals	10	N/A	N/A	N/A	N/A	N/A
higher order singular value decomposition	10	PROBLEM PM:2	PROBLEM PM:1	N/A	PROBLEM PM:1	DATASET DT:1
lexical density	10	N/A	N/A	N/A	N/A	N/A
joint probabilistic tensor factorization	10	METHOD MD:3	METHOD MD:3	METHOD MD:1	METHOD MD:1 PM:1	N/A
massive online analysis	10	N/A	N/A	METHOD MD:2	N/A	N/A
enhanced spectral kernel	10	N/A	METHOD MD:1	N/A	N/A	N/A
similarity flooding	10	METHOD MD:1	N/A	N/A	N/A	N/A
breath first search	10	N/A	N/A	N/A	METHOD MD:1	N/A
incomplete basic partitions	10	N/A	N/A	DATASET DT:1	N/A	N/A
vector auto regressive	10	METHOD MD:2	N/A	N/A	METHOD MD:2	METHOD MD:2 PM:1 DT:1
cross lingual text classification	10	N/A	N/A	N/A	METHOD MD:1	DATASET DT:1
trust establishment	10	N/A	METHOD MD:3	N/A	METHOD MD:2	METHOD MD:1
management information systems	10	N/A	N/A	N/A	N/A	N/A
web service description language	10	N/A	N/A	N/A	N/A	N/A
emergent self organizing maps	10	N/A	METHOD MD:2	N/A	N/A	METHOD MD:1 DT:1
local component	10	N/A	N/A	N/A	N/A	PROBLEM PM:1
constrained concave convex procedure	9	N/A	METHOD MD:1	N/A	N/A	N/A
hierarchical naive bayes	9	N/A	METHOD MD:1	N/A	N/A	N/A
site style tree	9	N/A	N/A	METHOD MD:1	N/A	N/A
teiresias patterns	9	N/A	N/A	N/A	N/A	N/A
interactive user interface	9	N/A	N/A	DATASET DT:1	PROBLEM PM:1	PROBLEM PM:1
bucket parameter estimation	9	METHOD MD:1	N/A	METHOD MD:5	METHOD MD:2	METRIC MC:4
gradient boosting decision tree	9	METHOD MD:6	N/A	DATASET DT:1	METHOD MD:2	METRIC MC:1
contrastive opinion modeling	9	PROBLEM PM:1	PROBLEM MD:2 PM:3	METHOD MD:1	N/A	PROBLEM PM:1
application programming interfaces	9	N/A	N/A	N/A	N/A	N/A
personalized pagerank vectors	9	N/A	N/A	N/A	METHOD MD:1	N/A
pseudo random number generator	9	N/A	N/A	METRIC MC:1	N/A	N/A
darpa agent markup language	9	N/A	N/A	N/A	N/A	N/A
probably approximately correct	9	N/A	N/A	N/A	N/A	METHOD MD:1
author persona topic	9	METHOD MD:3	METHOD MD:3	METHOD MD:1	METHOD MD:2	N/A
prepositional phrases	9	N/A	N/A	N/A	N/A	N/A
generic collaboration infrastructure	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
take a chance	9	METRIC MC:1	N/A	N/A	N/A	N/A
web content accessibility guidelines	9	N/A	N/A	N/A	N/A	N/A
weak learning	9	METHOD MD:4 MC:1	N/A	N/A	PROBLEM PM:1	N/A
enterprise java beans	9	N/A	N/A	METHOD MD:1	PROBLEM PM:1	N/A
swiss national science foundation	9	N/A	N/A	N/A	N/A	N/A
adjusted count	9	METHOD MD:2	N/A	N/A	METHOD MD:4 PM:1	METHOD MD:1 PM:1
place social	9	N/A	N/A	N/A	N/A	METHOD MD:1
certificate authority	9	N/A	N/A	N/A	N/A	N/A
least mean squares	9	METHOD MD:1	METHOD MD:1	PROBLEM PM:1	METHOD MD:1 MC:1	PROBLEM PM:1
discard set	9	N/A	N/A	METHOD MD:1	DATASET DT:1	DATASET DT:1
search length	9	N/A	N/A	N/A	METRIC MC:1	N/A
kernel fisher discriminant	9	METHOD MD:2	N/A	N/A	N/A	N/A
smart style caching	9	METHOD MD:6	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:1 DT:1
classification association rules	9	N/A	N/A	N/A	N/A	DATASET DT:1
transfer component analysis	9	N/A	N/A	N/A	N/A	N/A
expertise oriented search	9	PROBLEM PM:2	N/A	METHOD MD:1	PROBLEM PM:1	N/A
code insertion	9	N/A	N/A	N/A	N/A	METHOD MD:1
dirichlet multinomial regression	9	N/A	N/A	METHOD MD:1	METHOD MD:1	METHOD MD:2
optimized network model	9	N/A	N/A	METHOD MD:4	METHOD MD:1	N/A
least squared	9	N/A	PROBLEM PM:1	N/A	N/A	N/A
dynamic linear model	9	N/A	N/A	N/A	N/A	METHOD MD:1
alternating procedure	9	N/A	N/A	METHOD MD:1	N/A	METRIC MC:1
column subset selection problem	9	N/A	N/A	METHOD MD:3	N/A	PROBLEM PM:1
cascading tree sheets	9	N/A	N/A	N/A	N/A	METHOD MD:1
electronic medical record	9	DATASET PM:1 DT:2	METRIC MC:1	METHOD MD:1 DT:1	DATASET DT:1	N/A
generic collaboration adapter	9	N/A	N/A	METHOD MD:3	METHOD MD:1	N/A
points of interests	9	N/A	N/A	N/A	N/A	N/A
nearest class mean	9	METRIC MC:1	N/A	N/A	N/A	METHOD MD:3
primary hashing	9	N/A	N/A	N/A	N/A	N/A
alternate maximization	9	METHOD MD:2	PROBLEM PM:1	METHOD MD:2 PM:1 MC:1	METHOD MD:1	METHOD MD:2
average clicks	9	N/A	N/A	N/A	N/A	N/A
games played	9	N/A	N/A	N/A	N/A	N/A
maximum uncertainty	9	METRIC MC:1	N/A	N/A	N/A	METRIC MC:1
entity relevance model	9	N/A	N/A	N/A	METHOD MD:1 DT:1	N/A
random deletion	9	METHOD MD:1	N/A	N/A	N/A	N/A
minimal perfect hash function	9	N/A	N/A	METHOD MD:1	N/A	N/A
automated anatomical labeling	9	N/A	N/A	N/A	METHOD MD:1 PM:1	N/A
hera presentation generator	9	N/A	N/A	PROBLEM PM:1	PROBLEM PM:1	N/A
named entity recognizers	9	N/A	N/A	N/A	N/A	N/A
kernel density estimators	9	N/A	N/A	N/A	DATASET DT:1	N/A
national weather service	9	N/A	N/A	DATASET DT:1	N/A	N/A
interval temporal logic	9	N/A	N/A	N/A	N/A	N/A
asynchronous javascript and xml	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
tree based hierarchical graph	9	N/A	N/A	METHOD MD:1	N/A	N/A
smart city services platform	9	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1
web services business process execution language	9	N/A	N/A	N/A	N/A	N/A
recursive feature elimination	9	METHOD MD:1	PROBLEM PM:1	METHOD MD:1	METHOD MD:5 PM:4	METHOD MD:1 PM:1
squared prediction error	9	N/A	METRIC MC:2	METRIC MC:1	N/A	DATASET DT:1
concept feedback	9	N/A	N/A	DATASET DT:1	N/A	N/A
query efficiency predictors	9	N/A	METHOD MD:1	N/A	METHOD MD:1	N/A
collaborative privacy management	9	N/A	METHOD MD:1 PM:1	DATASET DT:1	METHOD MD:2	N/A
statement reordering	9	N/A	N/A	N/A	N/A	N/A
hospital admissions	9	DATASET DT:1	DATASET DT:1	DATASET DT:1	N/A	DATASET DT:1
suffix equivalent set	9	N/A	PROBLEM PM:1	N/A	N/A	N/A
dependency parses	9	N/A	N/A	N/A	N/A	N/A
name entity recognition	9	N/A	N/A	N/A	N/A	N/A
bi normal separation	9	METRIC MC:1	METHOD MD:1 MC:1	N/A	METRIC MC:2	N/A
object relation network	9	METHOD MD:1	N/A	METHOD MD:1	N/A	N/A
optimal split point	9	N/A	N/A	N/A	N/A	N/A
fault tolerant torus	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
frequency based method	9	N/A	N/A	METHOD MD:1	N/A	METHOD MD:1 DT:1
symposium on computational geometry	9	N/A	N/A	METHOD MD:1	N/A	N/A
link function classification	9	METHOD MD:2	PROBLEM PM:1	PROBLEM PM:1	METHOD MD:1	PROBLEM PM:1
software configuration management	9	PROBLEM PM:1	N/A	N/A	N/A	DATASET DT:1
statistical arbitrage mining	9	N/A	METHOD MD:1 PM:1	N/A	PROBLEM PM:1 DT:1	N/A
value difference metric	9	N/A	N/A	METRIC MC:2	N/A	N/A
temporal information extraction	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
principle component	9	N/A	METRIC MC:1	PROBLEM PM:1	N/A	N/A
probit bayesian inference	9	N/A	N/A	N/A	PROBLEM PM:1	N/A
base noun phrase	9	N/A	N/A	N/A	DATASET DT:1	N/A
probabilistic soft logic	9	N/A	N/A	N/A	N/A	N/A
history guided recommendation	9	METHOD MD:2 PM:1	METHOD MD:1	METHOD MD:1	N/A	N/A
predictive discrete latent factor	9	METHOD MD:1	N/A	N/A	METHOD MD:1	N/A
multiple choice knapsack problem	9	N/A	N/A	PROBLEM PM:1	METHOD MD:1	PROBLEM PM:1
disease progression modeling	9	N/A	METHOD MD:2 PM:1	N/A	N/A	N/A
symbol table	9	N/A	N/A	N/A	N/A	N/A
least frequently used	9	N/A	N/A	N/A	N/A	N/A
multi label random forest	9	N/A	N/A	DATASET DT:1	METHOD MD:3	N/A
focused topic model	9	N/A	N/A	N/A	N/A	METHOD MD:1
hinge loss markov random fields	9	N/A	METHOD MD:1	METHOD MD:2	N/A	N/A
sparql query rewriting	9	N/A	N/A	METHOD MD:1 DT:1	METHOD MD:2	N/A
discriminant learning analysis	9	METHOD MD:1	METHOD MD:2	METHOD MD:1	METHOD MD:1 PM:1	N/A
set top box	9	N/A	N/A	N/A	N/A	N/A
